accelerateType,attributeAcceleration,attributeAggression,attributeAgility,attributeBalance,attributeBallControl,attributeComposure,attributeCrossing,attributeCurve,attributeDefensiveAwareness,attributeDribbling,attributeFinishing,attributeFkAccuracy,attributeGkDiving,attributeGkHandling,attributeGkKicking,attributeGkPositioning,attributeGkReflexes,attributeHeadingAccuracy,attributeInterceptions,attributeJumping,attributeLongPassing,attributeLongShots,attributePenalties,attributePositioning,attributeReactions,attributeShortPassing,attributeShotPower,attributeSlidingTackle,attributeSprintSpeed,attributeStamina,attributeStandingTackle,attributeStrength,attributeVision,attributeVolleys,bodytype,commonName,eaId,foot,height,overall,playstyles,playstylesPlus,positions,rolesPlus,rolesPlusPlus,skillMoves,weakFoot,weight,player_origin_id,debug_index,__true_player_id,archetype,metarating,__player_id
CONTROLLED,78,44,80,75,87,82,78,81,59,85,82,80,11,14,13,9,10,59,57,80,82,90,74,86,87,87,86,34,72,76,46,83,87,80,Average Medium,Jill Roord,240714,Right,175,86,"['Technical', 'First Touch']",[],"['CAM', 'CM', 'RW']","['CM Playmaker', 'CAM Shadow Striker']",['CAM Playmaker'],4,4,63.0,240714_85,85,240714,playmaker,73.46528507264937,240714_85_playmaker
CONTROLLED,85,78,71,74,77,82,68,55,87,72,47,26,11,10,8,14,13,80,86,90,75,40,43,47,86,82,48,84,83,78,86,80,62,32,Average Medium,Jules Koundé,241486,Right,180,85,"['Slide Tackle', 'Quick Step', 'Relentless']",['Jockey'],"['RB', 'CB']","['RB Falseback', 'CB Ball-Playing Defender']",['RB Fullback'],3,3,75.0,241486_86,86,241486,fullback,78.303384964487,241486_86_fullback
MOSTLY_EXPLOSIVE,83,87,84,83,86,69,60,69,82,88,79,71,12,8,15,10,8,43,77,67,84,80,86,77,85,90,75,78,78,83,81,66,84,68,Average Short,Georgia Stanway,243404,Right,162,84,"['Pinged Pass', 'Long Ball Pass', 'Jockey', 'Technical', 'Flair', 'First Touch']",[],"['CDM', 'CM']","['CDM Deep-Lying Playmaker', 'CM Playmaker']",['CDM Holding'],3,3,58.0,243404_87,87,243404,holding,71.89296945310797,243404_87_holding
LENGTHY,77,83,53,46,82,85,58,55,88,74,35,35,7,10,6,8,11,79,86,89,78,23,47,43,86,84,60,86,86,72,89,87,62,34,Average Tall,William Saliba,243715,Right,193,87,['Jockey'],['Anticipate'],['CB'],"['CB Stopper', 'CB Ball-Playing Defender']",['CB Defender'],2,3,85.0,243715_88,88,243715,defender,80.56209218757043,243715_88_defender
CONTROLLED,83,31,74,84,90,82,88,81,61,90,85,88,11,15,17,16,10,68,73,84,74,87,68,87,89,85,87,68,81,81,69,84,87,73,Average Short,Beth Mead,245802,Right,163,88,"['Whipped Pass', 'Technical', 'First Touch']",[],"['RW', 'RM', 'LW']","['RW Inside Forward', 'LW Winger']",['RW Winger'],5,4,58.0,245802_89,89,245802,winger,76.66005586377938,245802_89_winger
CONTROLLED,46,21,39,42,22,45,15,17,15,15,15,11,87,82,84,89,90,13,15,60,35,17,13,10,83,31,63,12,35,35,11,46,69,8,Lean Medium,Christiane Endler,245956,Left,183,88,['GK Cross Claimer'],['GK Rush Out'],['GK'],[],['GK Sweeper Keeper'],1,3,73.0,245956_90,90,245956,sweeper_keeper,78.62248309579928,245956_90_sweeper_keeper
CONTROLLED,70,71,55,42,86,86,59,58,23,79,90,55,10,15,10,7,10,91,25,92,68,80,75,89,86,78,88,20,69,81,30,92,79,77,Unique,Khadija Shaw,246219,Right,180,86,['Press Proven'],['Aerial'],['ST'],[],['ST Target Forward'],3,4,70.0,246219_91,91,246219,target_forward,69.7713330744894,246219_91_target_forward
CONTROLLED,88,44,84,68,87,85,71,71,37,84,90,72,14,12,11,14,8,91,27,95,70,83,82,91,82,85,84,30,82,71,35,85,79,91,Lean Medium,Marie Katoto,246272,Right,177,88,"['Press Proven', 'Trivela', 'Aerial']",['Power Header'],['ST'],[],['ST False 9'],4,4,66.0,246272_92,92,246272,false_nine,74.56575605985134,246272_92_false_nine
CONTROLLED,63,35,48,42,21,57,12,14,22,17,11,13,84,83,80,84,86,12,23,71,22,9,13,14,79,29,60,10,62,36,13,61,55,7,Unique,Chiamaka Nnadozie,246641,Right,180,85,['GK Footwork'],['GK Deflector'],['GK'],[],['GK Goalkeeper'],1,3,69.0,246641_93,93,246641,goalkeeper,71.19644153534352,246641_93_goalkeeper
MOSTLY_EXPLOSIVE,88,68,85,88,88,82,85,84,60,89,84,69,7,8,13,9,13,49,62,71,70,83,87,82,85,83,79,60,83,86,62,63,86,79,Lean Medium,Bukayo Saka,246669,Left,178,87,"['Finesse Shot', 'Whipped Pass', 'Technical', 'Flair']",[],"['RW', 'RM']",['RM Inside Forward'],['RW Inside Forward'],3,4,65.0,246669_94,94,246669,inside_forward,77.24902681597086,246669_94_inside_forward
MOSTLY_EXPLOSIVE,85,62,86,75,87,79,78,83,38,88,80,65,9,15,8,14,8,62,40,78,76,83,65,84,84,83,78,34,86,77,39,70,83,64,Average Medium,Khvicha Kvaratskhelia,247635,Right,183,85,"['Finesse Shot', 'Incisive Pass', 'Technical', 'Flair', 'Trickster', 'Trivela']",[],"['LW', 'LM', 'RW']",['RW Inside Forward'],['LW Inside Forward'],5,5,70.0,247635_95,95,247635,inside_forward,77.52186586297744,247635_95_inside_forward
EXPLOSIVE,84,67,87,80,81,76,82,78,82,87,57,39,5,8,10,15,5,77,79,83,81,60,61,78,83,82,64,79,81,81,81,62,71,65,Average Medium,Giulia Gwinn,247788,Right,172,83,"['Jockey', 'Anticipate', 'Rapid', 'First Touch', 'Long Throw']",[],"['RB', 'LB']",['LB Attacking Wingback'],['RB Attacking Wingback'],4,3,58.0,247788_96,96,247788,attacking_wingback,74.24313270579633,247788_96_attacking_wingback
CONTROLLED,81,85,82,79,89,87,66,73,77,89,90,68,14,11,10,5,8,75,82,84,89,86,74,91,91,89,85,77,80,93,79,77,90,77,Average Medium,Jude Bellingham,252371,Right,186,90,"['Intercept', 'Slide Tackle', 'Technical', 'Flair']",['Relentless'],"['CAM', 'CM']","['CAM Shadow Striker', 'CAM Half Winger']",['CAM Playmaker'],4,4,75.0,252371_97,97,252371,playmaker,79.6906825041682,252371_97_playmaker
MOSTLY_EXPLOSIVE,94,55,92,84,85,78,83,78,36,88,77,72,9,13,12,12,14,65,40,78,64,72,62,78,80,82,78,25,93,81,28,60,80,64,Lean Medium,Nico Williams,256516,Right,181,85,"['Finesse Shot', 'Flair', 'Quick Step', 'Relentless', 'Trivela']",['Rapid'],"['LM', 'RM', 'LW']","['RM Inside Forward', 'LM Winger']",['LM Inside Forward'],4,5,67.0,256516_98,98,256516,inside_forward,79.6455242345865,256516_98_inside_forward
MOSTLY_EXPLOSIVE,81,63,87,87,90,85,84,82,58,90,79,69,14,14,13,6,10,42,44,64,87,79,64,83,88,91,78,44,81,87,49,59,91,80,Average Medium,Florian Wirtz,256630,Right,177,88,"['Finesse Shot', 'Chip Shot', 'Technical', 'Flair', 'First Touch', 'Trivela']",['Incisive Pass'],"['CAM', 'LM']","['LM Wide Playmaker', 'CAM Playmaker']",['CAM Shadow Striker'],4,4,71.0,256630_99,99,256630,shadow_striker,79.91694836153893,256630_99_shadow_striker
CONTROLLED,73,60,78,75,87,87,78,85,45,88,84,74,7,6,10,14,14,62,52,71,82,80,89,86,84,86,81,40,77,78,53,61,86,67,Lean Tall,Cole Palmer,257534,Left,189,85,"['Finesse Shot', 'Incisive Pass', 'Whipped Pass', 'Technical', 'Flair', 'First Touch']",[],"['RM', 'CAM', 'RW']","['RM Wide Playmaker', 'CAM Shadow Striker']",['RM Inside Forward'],4,3,74.0,257534_100,100,257534,inside_forward,72.12462790387359,257534_100_inside_forward
MOSTLY_EXPLOSIVE,89,65,85,89,82,81,84,74,81,75,74,71,8,10,13,7,6,68,80,83,75,77,85,77,84,81,75,74,89,81,79,72,69,45,Lean Short,Olga Carmona,262457,Left,160,83,"['Intercept', 'Rapid', 'Relentless']",[],"['LB', 'LW']",['LW Winger'],['LB Attacking Wingback'],4,3,51.0,262457_101,101,262457,attacking_wingback,75.10850776021489,262457_101_attacking_wingback
CONTROLLED,92,68,85,86,91,80,73,74,41,89,89,72,12,13,13,13,6,79,43,92,75,82,78,89,89,88,86,39,93,93,42,85,74,84,Average Short,Sophia Wilson,264012,Right,164,89,"['Finesse Shot', 'Technical', 'Flair', 'Trickster', 'Quick Step']",['First Touch'],"['ST', 'RW']","['RW Inside Forward', 'ST Advanced Forward']",['ST False 9'],4,5,58.0,264012_102,102,264012,false_nine,81.76859755851126,264012_102_false_nine
CONTROLLED,93,68,69,77,90,74,88,81,30,92,82,73,14,5,9,13,9,66,40,90,77,78,70,82,77,76,85,38,86,75,43,91,81,71,Stocky Medium,Lauren James,265249,Right,175,86,"['Long Ball Pass', 'Whipped Pass', 'Rapid', 'Flair', 'First Touch', 'Quick Step']",['Trickster'],"['RW', 'RM', 'CAM']","['CAM Half Winger', 'RW Wide Playmaker']",['RW Inside Forward'],5,4,77.0,265249_103,103,265249,inside_forward,76.84388985441981,265249_103_inside_forward
CONTROLLED,58,76,69,50,84,82,79,68,79,80,73,57,9,6,7,14,8,85,84,85,89,61,61,75,83,86,65,73,64,81,79,84,84,57,Average Medium,Damaris Egurrola,265536,Left,176,83,"['Power Header', 'Aerial']",['Long Ball Pass'],"['CM', 'CDM']",['CDM Deep-Lying Playmaker'],['CM Box to Box'],3,3,65.0,265536_104,104,265536,box_to_box,67.39972779508506,265536_104_box_to_box
EXPLOSIVE,92,85,94,89,81,84,92,88,76,80,65,81,14,14,6,9,14,58,80,79,80,78,60,80,77,87,92,87,83,91,84,71,79,49,Average Short,Selma Bacha,265674,Left,161,86,"['Dead Ball', 'Intercept', 'Anticipate', 'Technical', 'Quick Step', 'Relentless']",['Whipped Pass'],"['LB', 'LW']",['LW Wide Playmaker'],['LB Attacking Wingback'],4,3,58.0,265674_105,105,265674,attacking_wingback,80.95245938522868,265674_105_attacking_wingback
MOSTLY_EXPLOSIVE,81,42,87,83,84,82,70,70,37,83,79,74,7,6,10,9,5,75,32,84,76,83,71,80,85,84,81,33,80,81,31,74,86,76,Average Short,Ashley Sanchez,266091,Right,163,83,"['Whipped Pass', 'Jockey', 'Anticipate', 'Technical', 'Trivela']",[],"['CAM', 'ST']",['ST False 9'],['CAM Playmaker'],4,3,56.0,266091_106,106,266091,playmaker,72.1925937306419,266091_106_playmaker
CONTROLLED_EXPLOSIVE,93,80,88,83,84,80,79,71,38,82,84,68,9,9,12,7,14,69,41,88,70,80,76,82,84,81,82,38,94,90,42,81,80,71,Average Medium,Trinity Rodman,266928,Right,173,84,"['Finesse Shot', 'Rapid', 'Flair', 'Trickster', 'Quick Step', 'Relentless', 'Trivela']",[],"['RM', 'RW', 'ST']","['RM Wide Midfielder', 'ST False 9']",['RM Inside Forward'],4,4,60.0,266928_107,107,266928,inside_forward,78.94738947500124,266928_107_inside_forward
CONTROLLED_EXPLOSIVE,90,66,87,88,94,96,83,94,36,88,99,88,13,8,13,15,7,81,51,65,91,99,99,99,96,94,99,33,89,88,30,76,95,99,Average Medium,Jari Litmanen,50337321,Right,182,93,"['Finesse Shot', 'Chip Shot', 'Incisive Pass', 'Pinged Pass', 'Long Ball Pass', 'Intercept', 'Technical', 'Relentless']","['First Touch', 'Trivela']","['CAM', 'CM']","['CM Box to Box', 'CAM Half Winger']","['CM Playmaker', 'CM Half-Winger', 'CAM Playmaker', 'CAM Shadow Striker']",4,5,78.0,50337321_108,108,50337321,playmaker,89.9996281505053,50337321_108_playmaker
CONTROLLED_EXPLOSIVE,90,66,87,88,94,96,83,94,36,88,99,88,13,8,13,15,7,81,51,65,91,99,99,99,96,94,99,33,89,88,30,76,95,99,Average Medium,Jari Litmanen,50337321,Right,182,93,"['Finesse Shot', 'Chip Shot', 'Incisive Pass', 'Pinged Pass', 'Long Ball Pass', 'Intercept', 'Technical', 'Relentless']","['First Touch', 'Trivela']","['CAM', 'CM']","['CM Box to Box', 'CAM Half Winger']","['CM Playmaker', 'CM Half-Winger', 'CAM Playmaker', 'CAM Shadow Striker']",4,5,78.0,50337321_108,108,50337321,half_winger,85.99009466063626,50337321_108_half_winger
CONTROLLED_EXPLOSIVE,90,66,87,88,94,96,83,94,36,88,99,88,13,8,13,15,7,81,51,65,91,99,99,99,96,94,99,33,89,88,30,76,95,99,Average Medium,Jari Litmanen,50337321,Right,182,93,"['Finesse Shot', 'Chip Shot', 'Incisive Pass', 'Pinged Pass', 'Long Ball Pass', 'Intercept', 'Technical', 'Relentless']","['First Touch', 'Trivela']","['CAM', 'CM']","['CM Box to Box', 'CAM Half Winger']","['CM Playmaker', 'CM Half-Winger', 'CAM Playmaker', 'CAM Shadow Striker']",4,5,78.0,50337321_108,108,50337321,shadow_striker,91.16545090150834,50337321_108_shadow_striker
MOSTLY_EXPLOSIVE,91,70,88,87,90,84,80,80,48,86,88,81,10,7,9,8,15,72,44,70,74,85,94,89,88,86,87,37,91,95,43,70,86,83,Average Medium,Landon Donovan,50339391,Right,173,87,"['Chip Shot', 'Rapid', 'First Touch', 'Trivela']",['Quick Step'],"['CAM', 'RM', 'ST']","['RM Wide Playmaker', 'CAM Shadow Striker', 'ST False 9']",['CAM Half Winger'],4,4,73.0,50339391_109,109,50339391,half_winger,79.11112136026397,50339391_109_half_winger
CONTROLLED_EXPLOSIVE,96,47,90,84,95,90,73,86,37,97,98,89,5,11,11,6,6,85,41,80,74,89,89,96,95,85,94,36,95,82,41,84,81,96,Unique,Ronaldo,50369224,Right,183,95,"['Finesse Shot', 'Technical', 'First Touch']","['Trickster', 'Quick Step']",['ST'],"['ST False 9', 'ST Target Forward']","['ST Advanced Forward', 'ST Poacher']",5,5,78.0,50369224_110,110,50369224,poacher,91.23492806472265,50369224_110_poacher
CONTROLLED_EXPLOSIVE,96,47,90,84,95,90,73,86,37,97,98,89,5,11,11,6,6,85,41,80,74,89,89,96,95,85,94,36,95,82,41,84,81,96,Unique,Ronaldo,50369224,Right,183,95,"['Finesse Shot', 'Technical', 'First Touch']","['Trickster', 'Quick Step']",['ST'],"['ST False 9', 'ST Target Forward']","['ST Advanced Forward', 'ST Poacher']",5,5,78.0,50369224_110,110,50369224,advanced_forward,92.87324912522271,50369224_110_advanced_forward
MOSTLY_EXPLOSIVE,94,65,90,90,94,90,86,88,62,95,93,75,12,6,16,14,9,80,52,88,80,97,82,92,91,90,97,54,92,88,63,78,90,94,Average Medium,Sidney Govou,50372546,Right,175,92,"['Finesse Shot', 'Rapid', 'First Touch', 'Quick Step', 'Trivela']","['Power Shot', 'Trickster']","['ST', 'RM']","['RM Inside Forward', 'ST False 9', 'ST Target Forward']","['RM Winger', 'ST Advanced Forward', 'ST Poacher']",5,5,75.0,50372546_111,111,50372546,poacher,89.93434699820926,50372546_111_poacher
MOSTLY_EXPLOSIVE,94,65,90,90,94,90,86,88,62,95,93,75,12,6,16,14,9,80,52,88,80,97,82,92,91,90,97,54,92,88,63,78,90,94,Average Medium,Sidney Govou,50372546,Right,175,92,"['Finesse Shot', 'Rapid', 'First Touch', 'Quick Step', 'Trivela']","['Power Shot', 'Trickster']","['ST', 'RM']","['RM Inside Forward', 'ST False 9', 'ST Target Forward']","['RM Winger', 'ST Advanced Forward', 'ST Poacher']",5,5,75.0,50372546_111,111,50372546,winger,90.3949359859692,50372546_111_winger
MOSTLY_EXPLOSIVE,94,65,90,90,94,90,86,88,62,95,93,75,12,6,16,14,9,80,52,88,80,97,82,92,91,90,97,54,92,88,63,78,90,94,Average Medium,Sidney Govou,50372546,Right,175,92,"['Finesse Shot', 'Rapid', 'First Touch', 'Quick Step', 'Trivela']","['Power Shot', 'Trickster']","['ST', 'RM']","['RM Inside Forward', 'ST False 9', 'ST Target Forward']","['RM Winger', 'ST Advanced Forward', 'ST Poacher']",5,5,75.0,50372546_111,111,50372546,advanced_forward,90.776609860267,50372546_111_advanced_forward
MOSTLY_LENGTHY,80,84,78,78,89,92,64,56,92,77,51,61,14,8,10,6,13,85,90,83,85,57,65,46,89,87,67,83,80,80,86,95,72,52,Average Tall,Dante,50490273,Left,188,88,"['Pinged Pass', 'Long Ball Pass', 'Jockey', 'Block', 'Bruiser', 'Aerial']",['Anticipate'],['CB'],['CB Stopper'],"['CB Defender', 'CB Ball-Playing Defender']",3,4,89.0,50490273_112,112,50490273,ball_playing_defender,82.60128395719332,50490273_112_ball_playing_defender
MOSTLY_LENGTHY,80,84,78,78,89,92,64,56,92,77,51,61,14,8,10,6,13,85,90,83,85,57,65,46,89,87,67,83,80,80,86,95,72,52,Average Tall,Dante,50490273,Left,188,88,"['Pinged Pass', 'Long Ball Pass', 'Jockey', 'Block', 'Bruiser', 'Aerial']",['Anticipate'],['CB'],['CB Stopper'],"['CB Defender', 'CB Ball-Playing Defender']",3,4,89.0,50490273_112,112,50490273,defender,83.7992139163008,50490273_112_defender
EXPLOSIVE,86,60,84,86,91,88,87,88,33,90,83,93,11,15,12,6,7,58,44,73,87,91,90,88,86,91,92,40,85,77,46,61,90,86,Average Medium,Gheorghe Hagi,50497772,Left,172,89,"['Finesse Shot', 'Chip Shot', 'Dead Ball', 'Incisive Pass', 'Technical', 'Flair']",['Power Shot'],"['CAM', 'CM', 'LM']","['CM Playmaker', 'LM Wide Playmaker', 'CAM Half Winger', 'CAM Classic 10']",['CAM Playmaker'],4,5,68.0,50497772_113,113,50497772,playmaker,82.14608981249958,50497772_113_playmaker
CONTROLLED_LENGTHY,90,93,85,85,94,96,90,92,43,92,91,88,15,14,11,15,6,96,51,91,86,92,90,92,90,90,94,53,90,90,56,91,94,97,Average Tall,Eric Cantona,50498846,Right,188,92,"['Incisive Pass', 'Tiki Taka', 'Technical', 'Flair', 'First Touch', 'Relentless', 'Trivela']","['Chip Shot', 'Power Shot']",['ST'],['ST Poacher'],"['ST Advanced Forward', 'ST False 9', 'ST Target Forward']",5,5,89.0,50498846_114,114,50498846,target_forward,88.89571272475536,50498846_114_target_forward
CONTROLLED_LENGTHY,90,93,85,85,94,96,90,92,43,92,91,88,15,14,11,15,6,96,51,91,86,92,90,92,90,90,94,53,90,90,56,91,94,97,Average Tall,Eric Cantona,50498846,Right,188,92,"['Incisive Pass', 'Tiki Taka', 'Technical', 'Flair', 'First Touch', 'Relentless', 'Trivela']","['Chip Shot', 'Power Shot']",['ST'],['ST Poacher'],"['ST Advanced Forward', 'ST False 9', 'ST Target Forward']",5,5,89.0,50498846_114,114,50498846,false_nine,89.47436310477642,50498846_114_false_nine
CONTROLLED_LENGTHY,90,93,85,85,94,96,90,92,43,92,91,88,15,14,11,15,6,96,51,91,86,92,90,92,90,90,94,53,90,90,56,91,94,97,Average Tall,Eric Cantona,50498846,Right,188,92,"['Incisive Pass', 'Tiki Taka', 'Technical', 'Flair', 'First Touch', 'Relentless', 'Trivela']","['Chip Shot', 'Power Shot']",['ST'],['ST Poacher'],"['ST Advanced Forward', 'ST False 9', 'ST Target Forward']",5,5,89.0,50498846_114,114,50498846,advanced_forward,89.37686015866767,50498846_114_advanced_forward
EXPLOSIVE,93,48,96,93,93,86,92,91,50,92,82,86,6,13,10,15,5,82,45,76,85,88,88,85,92,91,85,43,92,84,46,66,93,87,Average Medium,Abedi Pelé,50499073,Left,174,90,"['Incisive Pass', 'Whipped Pass', 'Technical', 'Flair', 'Quick Step', 'Relentless', 'Acrobatic']","['Finesse Shot', 'Rapid']","['CAM', 'LM']","['LM Wide Midfielder', 'CAM Half Winger', 'CAM Classic 10']","['LM Wide Playmaker', 'CAM Playmaker', 'CAM Shadow Striker']",4,4,67.0,50499073_115,115,50499073,playmaker,85.27466542826504,50499073_115_playmaker
EXPLOSIVE,93,48,96,93,93,86,92,91,50,92,82,86,6,13,10,15,5,82,45,76,85,88,88,85,92,91,85,43,92,84,46,66,93,87,Average Medium,Abedi Pelé,50499073,Left,174,90,"['Incisive Pass', 'Whipped Pass', 'Technical', 'Flair', 'Quick Step', 'Relentless', 'Acrobatic']","['Finesse Shot', 'Rapid']","['CAM', 'LM']","['LM Wide Midfielder', 'CAM Half Winger', 'CAM Classic 10']","['LM Wide Playmaker', 'CAM Playmaker', 'CAM Shadow Striker']",4,4,67.0,50499073_115,115,50499073,wide_playmaker,88.79865130586485,50499073_115_wide_playmaker
EXPLOSIVE,93,48,96,93,93,86,92,91,50,92,82,86,6,13,10,15,5,82,45,76,85,88,88,85,92,91,85,43,92,84,46,66,93,87,Average Medium,Abedi Pelé,50499073,Left,174,90,"['Incisive Pass', 'Whipped Pass', 'Technical', 'Flair', 'Quick Step', 'Relentless', 'Acrobatic']","['Finesse Shot', 'Rapid']","['CAM', 'LM']","['LM Wide Midfielder', 'CAM Half Winger', 'CAM Classic 10']","['LM Wide Playmaker', 'CAM Playmaker', 'CAM Shadow Striker']",4,4,67.0,50499073_115,115,50499073,shadow_striker,88.06675651079162,50499073_115_shadow_striker
CONTROLLED_LENGTHY,83,91,80,80,88,90,82,95,88,80,82,97,5,8,7,6,15,85,93,90,97,93,96,80,92,88,97,90,82,91,91,92,83,83,Average Medium,Ronald Koeman,50499328,Right,181,91,"['Power Shot', 'Long Ball Pass', 'Jockey', 'Intercept', 'Anticipate', 'Slide Tackle']","['Dead Ball', 'Bruiser']","['CB', 'CDM']",['CDM Centre-Half'],"['CB Defender', 'CDM Holding', 'CDM Deep-Lying Playmaker']",4,4,82.0,50499328_116,116,50499328,deep_lying_playmaker,84.05476795720398,50499328_116_deep_lying_playmaker
CONTROLLED_LENGTHY,83,91,80,80,88,90,82,95,88,80,82,97,5,8,7,6,15,85,93,90,97,93,96,80,92,88,97,90,82,91,91,92,83,83,Average Medium,Ronald Koeman,50499328,Right,181,91,"['Power Shot', 'Long Ball Pass', 'Jockey', 'Intercept', 'Anticipate', 'Slide Tackle']","['Dead Ball', 'Bruiser']","['CB', 'CDM']",['CDM Centre-Half'],"['CB Defender', 'CDM Holding', 'CDM Deep-Lying Playmaker']",4,4,82.0,50499328_116,116,50499328,holding,86.21367665007222,50499328_116_holding
CONTROLLED_LENGTHY,83,91,80,80,88,90,82,95,88,80,82,97,5,8,7,6,15,85,93,90,97,93,96,80,92,88,97,90,82,91,91,92,83,83,Average Medium,Ronald Koeman,50499328,Right,181,91,"['Power Shot', 'Long Ball Pass', 'Jockey', 'Intercept', 'Anticipate', 'Slide Tackle']","['Dead Ball', 'Bruiser']","['CB', 'CDM']",['CDM Centre-Half'],"['CB Defender', 'CDM Holding', 'CDM Deep-Lying Playmaker']",4,4,82.0,50499328_116,116,50499328,defender,81.44488450934958,50499328_116_defender
EXPLOSIVE,84,68,94,94,92,93,88,88,74,86,82,80,13,9,7,14,9,58,83,73,92,90,90,84,87,92,88,76,78,83,77,63,92,82,Lean Medium,Luka Modrić,50508651,Right,172,89,"['Incisive Pass', 'Long Ball Pass', 'Whipped Pass', 'Intercept', 'Trivela']",['Technical'],"['CM', 'CDM', 'CAM']","['CM Box to Box', 'CAM Playmaker', 'CAM Shadow Striker']",['CM Playmaker'],4,4,66.0,50508651_117,117,50508651,playmaker,82.79969780698539,50508651_117_playmaker
CONTROLLED,92,92,87,91,87,89,88,92,87,83,72,63,12,13,9,8,11,83,87,97,83,89,69,73,91,88,96,83,89,90,88,88,82,76,Average Medium,Yuri Berchiche,50515160,Left,181,90,"['Pinged Pass', 'Long Ball Pass', 'Whipped Pass', 'Jockey', 'Block', 'Intercept']","['Slide Tackle', 'Bruiser']",['LB'],['LB Falseback'],"['LB Fullback', 'LB Wingback', 'LB Attacking Wingback']",4,4,80.0,50515160_118,118,50515160,attacking_wingback,86.44021777053773,50515160_118_attacking_wingback
CONTROLLED,92,92,87,91,87,89,88,92,87,83,72,63,12,13,9,8,11,83,87,97,83,89,69,73,91,88,96,83,89,90,88,88,82,76,Average Medium,Yuri Berchiche,50515160,Left,181,90,"['Pinged Pass', 'Long Ball Pass', 'Whipped Pass', 'Jockey', 'Block', 'Intercept']","['Slide Tackle', 'Bruiser']",['LB'],['LB Falseback'],"['LB Fullback', 'LB Wingback', 'LB Attacking Wingback']",4,4,80.0,50515160_118,118,50515160,wingback,87.51772751012732,50515160_118_wingback
CONTROLLED,92,92,87,91,87,89,88,92,87,83,72,63,12,13,9,8,11,83,87,97,83,89,69,73,91,88,96,83,89,90,88,88,82,76,Average Medium,Yuri Berchiche,50515160,Left,181,90,"['Pinged Pass', 'Long Ball Pass', 'Whipped Pass', 'Jockey', 'Block', 'Intercept']","['Slide Tackle', 'Bruiser']",['LB'],['LB Falseback'],"['LB Fullback', 'LB Wingback', 'LB Attacking Wingback']",4,4,80.0,50515160_118,118,50515160,fullback,90.0505453338818,50515160_118_fullback
MOSTLY_EXPLOSIVE,88,72,95,90,91,88,87,86,70,88,85,86,12,10,15,12,12,70,73,80,90,88,83,88,86,88,87,65,86,91,71,74,86,84,Lean Medium,Oscar,50519800,Right,179,88,"['Finesse Shot', 'Dead Ball', 'Incisive Pass', 'Long Ball Pass', 'Technical', 'First Touch', 'Trivela']",['Tiki Taka'],"['CAM', 'CM', 'LW']","['CM Half-Winger', 'CAM Playmaker', 'CAM Classic 10', 'LW Winger']",['CAM Half Winger'],4,4,70.0,50519800_119,119,50519800,half_winger,83.00655829006334,50519800_119_half_winger
MOSTLY_LENGTHY,78,82,78,84,91,88,78,81,36,86,91,86,15,6,12,8,10,90,50,93,72,83,91,91,90,86,90,19,77,77,43,90,83,87,Unique,Robert Lewandowski,50520193,Right,185,89,"['Finesse Shot', 'Power Shot', 'Power Header', 'Incisive Pass', 'First Touch', 'Trivela']",['Chip Shot'],['ST'],['ST Advanced Forward'],['ST False 9'],4,4,81.0,50520193_120,120,50520193,false_nine,77.33132000381659,50520193_120_false_nine
CONTROLLED_LENGTHY,87,80,84,84,90,90,76,75,67,85,92,76,16,10,8,8,11,99,51,97,75,83,80,91,90,88,88,54,81,88,63,90,85,89,Average Tall,Luuk de Jong,50521453,Right,189,88,"['Finesse Shot', 'Chip Shot', 'First Touch', 'Trivela', 'Aerial']",['Power Header'],['ST'],"['ST Advanced Forward', 'ST Poacher', 'ST False 9']",['ST Target Forward'],4,5,86.0,50521453_121,121,50521453,target_forward,84.49987654543848,50521453_121_target_forward
CONTROLLED,91,52,90,86,93,92,80,82,25,91,96,82,7,9,9,12,10,90,46,85,70,88,89,95,95,84,93,31,90,81,32,81,81,97,Lean Tall,Marco van Basten,50523829,Right,188,92,"['Finesse Shot', 'Power Header', 'Incisive Pass', 'Technical', 'Quick Step', 'Relentless', 'Trivela', 'Acrobatic']","['Power Shot', 'First Touch']",['ST'],['ST False 9'],"['ST Advanced Forward', 'ST Poacher', 'ST Target Forward']",5,5,78.0,50523829_122,122,50523829,poacher,90.52361600881024,50523829_122_poacher
CONTROLLED,91,52,90,86,93,92,80,82,25,91,96,82,7,9,9,12,10,90,46,85,70,88,89,95,95,84,93,31,90,81,32,81,81,97,Lean Tall,Marco van Basten,50523829,Right,188,92,"['Finesse Shot', 'Power Header', 'Incisive Pass', 'Technical', 'Quick Step', 'Relentless', 'Trivela', 'Acrobatic']","['Power Shot', 'First Touch']",['ST'],['ST False 9'],"['ST Advanced Forward', 'ST Poacher', 'ST Target Forward']",5,5,78.0,50523829_122,122,50523829,advanced_forward,90.92997301154817,50523829_122_advanced_forward
CONTROLLED,91,52,90,86,93,92,80,82,25,91,96,82,7,9,9,12,10,90,46,85,70,88,89,95,95,84,93,31,90,81,32,81,81,97,Lean Tall,Marco van Basten,50523829,Right,188,92,"['Finesse Shot', 'Power Header', 'Incisive Pass', 'Technical', 'Quick Step', 'Relentless', 'Trivela', 'Acrobatic']","['Power Shot', 'First Touch']",['ST'],['ST False 9'],"['ST Advanced Forward', 'ST Poacher', 'ST Target Forward']",5,5,78.0,50523829_122,122,50523829,target_forward,86.95358488767684,50523829_122_target_forward
